subject_id,collected_at,trial_index,start_x,start_y,end_x,end_y,zone_x,zone_y,duration_ms,success
test1,2026-06-25T19:27:50.508Z,10,60,331.0,694.0,559.0,643.1779127251775,524.3582027401378,815.0,True
akshitm,2026-06-26T05:37:31.963Z,1,60,439.5,703.98828125,628.61328125,655.1335270791242,587.5484114683002,717.0,True
akshitm,2026-06-26T05:37:31.963Z,2,60,439.5,709.3671875,365.34375,648.0468333884485,326.4958795363574,703.1999999880791,True
akshitm,2026-06-26T05:37:31.963Z,3,60,439.5,686.60546875,416.0625,639.2150598753537,374.099918220887,965.0,True
akshitm,2026-06-26T05:37:31.963Z,4,60,439.5,686.296875,230.81640625,650.2301835666144,181.41253504923765,883.1999999880791,True
akshitm,2026-06-26T05:37:31.963Z,5,60,439.5,692.88671875,317.12890625,649.4244318619457,288.3092005019176,684.3999999910593,True
akshitm,2026-06-26T05:37:31.963Z,6,60,439.5,684.47265625,505.79296875,653.4233122247658,476.1524884631716,749.7000000029802,True
akshitm,2026-06-26T05:37:31.963Z,7,60,439.5,721.3828125,403.8828125,639.8558758147528,346.7378962295864,616.7000000029802,True
akshitm,2026-06-26T05:37:31.963Z,8,60,439.5,691.5859375,639.71875,638.2349342426822,606.5868645869729,876.5999999940395,True
akshitm,2026-06-26T05:37:31.963Z,9,60,439.5,714.75,75.73828125,657.9584107634928,84.12801657927372,1417.0999999940395,False
akshitm,2026-06-26T05:37:31.963Z,10,60,439.5,682.6796875,441.1953125,644.1012474584953,399.69989164384987,616.7000000029802,True
asheesh,2026-06-26T06:02:44.576Z,1,60,439.5,60.0,439.5,644.3236086015391,730.8972814313137,183.0,False
asheesh,2026-06-26T06:02:44.576Z,2,60,439.5,694.52734375,123.3046875,645.9972392469542,77.44804493388787,1902.2000000029802,True
asheesh,2026-06-26T06:02:44.576Z,3,60,439.5,696.9375,750.87890625,647.5605593345939,711.1230307285925,2017.800000011921,True
asheesh,2026-06-26T06:02:44.576Z,4,60,439.5,685.90234375,225.5546875,649.0473280714747,182.04669997168816,1632.2000000029802,True
asheesh,2026-06-26T06:02:44.576Z,5,60,439.5,697.95703125,113.21875,651.4918810150906,67.43125390792413,1830.7999999970198,True
asheesh,2026-06-26T06:02:44.576Z,6,60,439.5,693.8046875,480.4453125,656.3150611873696,439.30839234372775,1766.0999999940395,True
asheesh,2026-06-26T06:02:44.576Z,7,60,439.5,690.35546875,785.83984375,639.5862290941733,739.5860476766758,1934.5,True
asheesh,2026-06-26T06:02:44.576Z,8,60,439.5,695.7734375,331.53125,652.6146258105243,284.18820293178584,2150.3999999910593,True
asheesh,2026-06-26T06:02:44.576Z,9,60,439.5,689.34765625,753.89453125,652.7793868709167,708.988497908976,1767.9000000059605,True
asheesh,2026-06-26T06:02:44.576Z,10,60,439.5,698.64453125,622.83984375,652.3439712273638,576.2899971666616,2031.2000000029802,True
amehta,2026-06-26T10:03:59.436Z,1,60,439.5,664.14453125,782.01171875,639.1006760527943,734.583841418299,883.8999999910593,True
amehta,2026-06-26T10:03:59.436Z,2,60,439.5,677.85546875,796.7578125,638.3641459571724,752.1981648719043,765.7999999970198,True
amehta,2026-06-26T10:03:59.436Z,3,60,439.5,705.25390625,139.234375,649.5353258995256,107.01921583361471,915.2999999970198,True
amehta,2026-06-26T10:03:59.436Z,4,60,439.5,700.22265625,476.9140625,643.4763660630748,446.1325398865677,899.0,True
amehta,2026-06-26T10:03:59.436Z,5,60,439.5,665.17578125,657.81640625,639.8499048547094,612.6483374256804,801.2999999970198,True
amehta,2026-06-26T10:03:59.436Z,6,60,439.5,676.625,344.625,657.4825941559831,286.0368800535434,883.5,True
amehta,2026-06-26T10:03:59.436Z,7,60,439.5,679.80859375,600.25390625,648.6748782122772,554.757929496139,851.7999999970198,True
amehta,2026-06-26T10:03:59.436Z,8,60,439.5,696.453125,273.21875,654.5193731805977,241.97623744825185,766.8999999910593,True
amehta,2026-06-26T10:03:59.436Z,9,60,439.5,679.66796875,699.41796875,639.1525949795862,660.5235495338818,884.0999999940395,True
amehta,2026-06-26T10:03:59.436Z,10,60,439.5,698.09765625,525.09375,643.9511768167865,478.5903171566658,702.2000000029802,True
test-verif,2026-06-26T11:37:02.725Z,1,60,396,714.765625,167.66796875,643.9099412057772,163.40024711618867,611.3000000000466,False
