subject_id,collected_at,x,y,ts,dx,dy,pressure
amehta,2026-06-26T10:03:59.436Z,735.0,677.0,99556.60000000894,-7.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,729.0,676.0,99573.40000000596,-6.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,724.0,674.0,99590.10000000894,-5.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,719.0,673.0,99606.70000000298,-5.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,715.0,672.0,99623.30000001192,-4.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,711.0,671.0,99639.90000000596,-4.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,706.0,669.0,99656.70000000298,-5.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,700.0,668.0,99672.20000000298,-6.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,695.0,667.0,99690.10000000894,-5.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,688.0,666.0,99706.70000000298,-7.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,684.0,665.0,99723.70000000298,-4.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,677.0,664.0,99739.70000000298,-7.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,672.0,663.0,99756.60000000894,-5.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,667.0,663.0,99773.30000001192,-5.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,663.0,662.0,99789.90000000596,-4.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,660.0,662.0,99806.60000000894,-3.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,658.0,661.0,99823.20000000298,-2.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,657.0,661.0,99840.80000001192,-1.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,657.0,661.0,99958.40000000596,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,657.0,661.0,99998.30000001192,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,657.0,661.0,100302.20000000298,0.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,885.0,622.0,1366.2999999998135,0.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,881.0,622.0,1387.1999999999534,-4.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,870.0,622.0,1416.8999999999069,-11.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,861.0,622.0,1432.8999999999069,-9.0,0.0,0.5
test-verif,2026-06-26T11:37:02.725Z,845.0,620.0,1450.2999999998135,-16.0,-2.0,0.5
test-verif,2026-06-26T11:37:02.725Z,838.0,618.0,1465.1999999999534,-7.0,-2.0,0.5
test-verif,2026-06-26T11:37:02.725Z,818.0,613.0,1483.0,-20.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,803.0,607.0,1499.6999999999534,-15.0,-6.0,0.5
test-verif,2026-06-26T11:37:02.725Z,788.0,603.0,1517.1999999999534,-15.0,-4.0,0.5
test-verif,2026-06-26T11:37:02.725Z,777.0,598.0,1533.0,-11.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,767.0,593.0,1550.5999999998603,-10.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,758.0,588.0,1565.3999999999069,-9.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,748.0,583.0,1583.2999999998135,-10.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,740.0,578.0,1599.7999999998135,-8.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,736.0,575.0,1616.3999999999069,-4.0,-3.0,0.5
test-verif,2026-06-26T11:37:02.725Z,725.0,568.0,1633.2999999998135,-11.0,-7.0,0.5
test-verif,2026-06-26T11:37:02.725Z,719.0,564.0,1649.5999999998603,-6.0,-4.0,0.5
test-verif,2026-06-26T11:37:02.725Z,712.0,559.0,1666.3999999999069,-7.0,-5.0,0.5
test-verif,2026-06-26T11:37:02.725Z,709.0,557.0,1683.0999999998603,-3.0,-2.0,0.5
test-verif,2026-06-26T11:37:02.725Z,699.0,549.0,1699.5999999998603,-10.0,-8.0,0.5
