subject_id,collected_at,trial_index,target_x,target_y,click_x,click_y,appeared_at,clicked_at,travel_time_ms,error_px
akshit,2026-06-24T11:05:19.196Z,7,545.5170553038656,799.7906757620544,552,802,214120.1000000015,215095.80000000447,975.7000000029802,6.849064572736241
akshit,2026-06-24T11:05:19.196Z,8,345.079056252485,518.2699305814419,350,538,215186.8999999985,216046.0,859.1000000014901,20.334486141216534
akshit,2026-06-24T11:05:19.196Z,9,690.6289145030436,136.43091997089257,683,148,216137.5,217346.80000000447,1209.3000000044703,13.857992250489998
akshit,2026-06-24T11:05:19.196Z,10,661.6693733624643,256.8545020764042,661,269,217437.5,218679.3999999985,1241.8999999985099,12.163929484769602
akshit,2026-06-24T11:05:19.196Z,11,490.8093906813452,731.0768570726216,501,746,218771.0,219946.5,1175.5,18.070658901003558
akshit,2026-06-24T11:05:19.196Z,12,239.15732184028238,213.53251830447724,240,212,220037.30000000447,221062.3999999985,1025.0999999940395,1.7489193333092465
akshit,2026-06-24T11:05:19.196Z,13,148.1157884599549,462.307136123693,150,470,221153.5,221962.5,809.0,7.920253010291295
akshit,2026-06-24T11:05:19.196Z,14,48.02154264954534,493.6106824994376,33,497,222053.70000000298,222795.8999999985,742.1999999955297,15.399162856848038
akshit,2026-06-24T11:05:19.196Z,15,408.3068173571049,729.5926463930389,419,732,222886.8999999985,223962.6000000015,1075.7000000029802,10.960816868430122
akshit,2026-06-24T11:05:19.196Z,16,194.13183554423617,800.4378520429472,196,815,224053.3999999985,225029.3999999985,976.0,14.681491462275817
akshit,2026-06-24T11:05:19.196Z,17,687.2499659010177,473.70561719885035,688,486,225121.20000000298,226162.80000000447,1041.6000000014901,12.317239934775992
akshit,2026-06-24T11:05:19.196Z,18,80.82882325057071,776.9977693919276,82,777,226253.30000000447,227179.6000000015,926.2999999970198,1.1711788736209927
akshit,2026-06-24T11:05:19.196Z,19,575.7780540350658,677.1049207956762,572,694,227269.80000000447,228179.5,909.6999999955297,17.31234800979495
akshit,2026-06-24T11:05:19.196Z,20,427.78207483178477,580.828749301591,433,585,228271.1000000015,229445.70000000298,1174.6000000014901,6.680275102873522
akshit,2026-06-24T11:05:19.196Z,21,553.3062131124168,857.8408957750237,549,867,229536.5,230480.1000000015,943.6000000014901,10.120902211439917
akshit,2026-06-24T11:05:19.196Z,22,300.35908433667856,109.18427212700169,311,119,230571.1000000015,231679.20000000298,1108.1000000014901,14.476795219615266
akshit,2026-06-24T11:05:19.196Z,23,387.494044600816,805.3440815950235,388,808,231770.20000000298,233096.1000000015,1325.8999999985099,2.703681460500963
akshit,2026-06-24T11:05:19.196Z,24,44.14297869173984,136.40767696372663,50,134,233187.3999999985,234279.80000000447,1092.4000000059605,6.332582961720551
akshit,2026-06-24T11:05:19.196Z,25,675.8456630742281,841.256299896453,680,848,234369.8999999985,235380.80000000447,1010.9000000059605,7.920606440128894
test1,2026-06-25T19:27:50.508Z,1,468.70329976841657,270.66937802393227,455,264,224906.0,227103.0,2197.0,15.240112459204372
test1,2026-06-25T19:27:50.508Z,2,366.685393787663,352.2085361076329,356,347,227193.0,228009.0,816.0,11.887240587366858
test1,2026-06-25T19:27:50.508Z,3,124.57333754732817,517.1373404176131,129,503,228100.0,229118.0,1018.0,14.814173434700043
test1,2026-06-25T19:27:50.508Z,4,659.5747657125768,186.6665222276785,669,188,229209.0,230317.0,1108.0,9.519096823863796
test1,2026-06-25T19:27:50.508Z,5,459.9462780521357,144.89858674274095,455,141,230407.0,231523.0,1116.0,6.297987389612247
test1,2026-06-25T19:27:50.508Z,6,163.61844250282633,509.30552630456725,155,513,231614.0,232653.0,1039.0,9.376923112661627
test1,2026-06-25T19:27:50.508Z,7,663.376381539879,374.9085992645847,674,370,232752.0,234438.0,1686.0,11.70280376347926
test1,2026-06-25T19:27:50.508Z,8,458.33467978226264,155.19537291291115,457,153,234529.0,235791.0,1262.0,2.5692474283191666
test1,2026-06-25T19:27:50.508Z,9,370.0684574453548,408.12456564663955,380,414,235882.0,236830.0,948.0,11.539335611523597
test1,2026-06-25T19:27:50.508Z,10,725.4566292581693,425.52991217383715,720,447,236921.0,238086.0,1165.0,22.152640342050777
test1,2026-06-25T19:27:50.508Z,11,415.8525896850502,242.15238141110189,406,247,238177.0,239243.0,1066.0,10.980570544620528
test1,2026-06-25T19:27:50.508Z,12,462.16700454138936,177.26958323264336,466,182,239334.0,240226.0,892.0,6.088406768491956
test1,2026-06-25T19:27:50.508Z,13,395.9344544603191,582.2767569956518,396,595,240317.0,241706.0,1389.0,12.723411836668166
test1,2026-06-25T19:27:50.508Z,14,476.7839894893456,157.9126530114325,472,161,241796.0,243671.0,1875.0,5.693704142470501
test1,2026-06-25T19:27:50.508Z,15,412.7931483053679,345.99641349065644,412,342,243762.0,244782.0,1020.0,4.074359461634271
test1,2026-06-25T19:27:50.508Z,16,272.16611456550277,257.3820547370249,257,246,244873.0,245744.0,871.0,18.962125435999667
test1,2026-06-25T19:27:50.508Z,17,695.6629008627601,446.26156279719754,695,456,245835.0,247175.0,1340.0,9.760973143430684
test1,2026-06-25T19:27:50.508Z,18,281.065984094495,308.5825307680619,283,298,247266.0,248626.0,1360.0,10.757805304973807
test1,2026-06-25T19:27:50.508Z,19,275.79682296695876,488.6386677931201,273,490,248716.0,249791.0,1075.0,3.1105375879414385
test1,2026-06-25T19:27:50.508Z,20,539.3401180725385,242.5253071987478,543,254,249883.0,251270.0,1387.0,12.044223121732173
test1,2026-06-25T19:27:50.508Z,21,79.57269450684376,415.3097746800227,87,415,251361.0,252420.0,1059.0,7.433762657029885
test1,2026-06-25T19:27:50.508Z,22,267.5078560956864,328.31519449930255,268,330,252512.0,253635.0,1123.0,1.7552137185349863
test1,2026-06-25T19:27:50.508Z,23,92.77191619355726,399.33145048249384,94,422,253726.0,254737.0,1011.0,22.701791274330663
test1,2026-06-25T19:27:50.508Z,24,481.48779331122955,115.54711110807801,466,108,254828.0,255986.0,1158.0,17.22877325084527
test1,2026-06-25T19:27:50.508Z,25,456.6797003688034,373.13795373135883,456,375,256077.0,257018.0,941.0,1.9822232210101864
akshitm,2026-06-26T05:37:31.963Z,1,339.95774363483366,551.8691674674867,340,560,500535.3000000119,502349.10000000894,1813.7999999970198,8.130942336050209
akshitm,2026-06-26T05:37:31.963Z,2,51.959595699313105,189.35783997028432,60,204,502440.40000000596,503482.200000003,1041.7999999970198,16.704518899217298
akshitm,2026-06-26T05:37:31.963Z,3,356.3350178033297,698.0562014199346,363,698,503572.60000000894,504432.5,859.8999999910593,6.665219147299994
akshitm,2026-06-26T05:37:31.963Z,4,109.03616243603466,718.7720175365882,118,714,504523.200000003,505448.8000000119,925.6000000089407,10.154926648807551
akshitm,2026-06-26T05:37:31.963Z,5,146.21638107877146,142.4163691506592,154,128,505540.3000000119,506483.8000000119,943.5,16.383419148608297
akshitm,2026-06-26T05:37:31.963Z,6,48.15931377163809,202.03662074642153,44,198,506574.3000000119,507448.90000000596,874.5999999940395,5.796050215567409
akshitm,2026-06-26T05:37:31.963Z,7,647.6149225218164,403.15141586833835,646,406,507539.40000000596,508415.5,876.0999999940395,3.2745085595588987
akshitm,2026-06-26T05:37:31.963Z,8,318.81913910265496,834.2079383188188,322,836,508506.700000003,509615.90000000596,1109.2000000029802,3.6509397581193497
akshitm,2026-06-26T05:37:31.963Z,9,133.0607630039007,679.8635526414145,139,672,509706.700000003,510582.5,875.7999999970198,9.854440432623816
akshitm,2026-06-26T05:37:31.963Z,10,423.47187345428335,646.9332052593943,419,642,510673.0,511400.200000003,727.2000000029802,6.658390670608005
akshitm,2026-06-26T05:37:31.963Z,11,491.07081328758085,476.68970264796616,494,474,511491.90000000596,512349.8000000119,857.9000000059605,3.9767618901172703
akshitm,2026-06-26T05:37:31.963Z,12,269.62237771035416,358.1860097618756,285,372,512441.90000000596,513282.40000000596,840.5,20.671177846992876
akshitm,2026-06-26T05:37:31.963Z,13,324.07306613073234,769.3485255967337,333,759,513373.40000000596,514400.40000000596,1027.0,13.666825905546986
akshitm,2026-06-26T05:37:31.963Z,14,354.61997277636,668.7413362454542,352,665,514491.8000000119,515215.60000000894,723.7999999970198,4.567477887238991
akshitm,2026-06-26T05:37:31.963Z,15,272.3001686996538,632.9262679656663,268,638,515307.5,515915.8000000119,608.3000000119209,6.650880212551296
akshitm,2026-06-26T05:37:31.963Z,16,605.5018102561935,124.90180305328954,601,121,516006.700000003,516983.200000003,976.5,5.957378840516063
akshitm,2026-06-26T05:37:31.963Z,17,391.55367583131317,575.914541469502,393,563,517074.8000000119,518083.10000000894,1008.2999999970198,12.995277410213811
akshitm,2026-06-26T05:37:31.963Z,18,645.674658113424,690.1329429617264,640,683,518174.10000000894,519283.0,1108.8999999910593,9.114857102527212
akshitm,2026-06-26T05:37:31.963Z,19,644.0515115550191,717.8858622965981,626,715,519374.5,520349.5,975.0,18.280734958308333
akshitm,2026-06-26T05:37:31.963Z,20,514.6001021657405,466.9010135406047,517,476,520440.90000000596,521298.90000000596,858.0,9.410157501505608
akshitm,2026-06-26T05:37:31.963Z,21,237.15340687357133,171.8297680561829,247,169,521389.40000000596,522233.90000000596,844.5,10.245144384010677
akshitm,2026-06-26T05:37:31.963Z,22,398.32816018436375,386.62854448464924,401,393,522324.5,522882.60000000894,558.1000000089407,6.9089922119302445
akshitm,2026-06-26T05:37:31.963Z,23,355.0212671285021,400.0784945250757,360,412,522974.200000003,523682.60000000894,708.4000000059605,12.91936816544771
akshitm,2026-06-26T05:37:31.963Z,24,536.179726872316,640.7094387269254,543,655,523773.700000003,524950.200000003,1176.5,15.834653991663567
akshitm,2026-06-26T05:37:31.963Z,25,302.0867957797973,283.9947875298759,307,292,525042.200000003,526276.5,1234.2999999970198,9.392710066921477
asheesh,2026-06-26T06:02:44.576Z,1,667.840453031877,126.27408127208622,664,137,661450.900000006,667588.200000003,6137.29999999702,11.392735055633695
asheesh,2026-06-26T06:02:44.576Z,2,546.3532926576586,611.5104950448865,557,606,667679.900000006,669722.8000000119,2042.9000000059605,11.988241442062526
asheesh,2026-06-26T06:02:44.576Z,3,608.9768105990509,140.52696129941208,612,151,669814.5,673122.900000006,3308.4000000059605,10.900651988666715
asheesh,2026-06-26T06:02:44.576Z,4,592.3675661450678,836.0534321943904,601,837,673214.6000000089,675072.8000000119,1858.2000000029802,8.684175543504153
asheesh,2026-06-26T06:02:44.576Z,5,588.963535995667,548.6877138376559,585,562,675165.1000000089,676572.5,1407.3999999910593,13.889801310929046
asheesh,2026-06-26T06:02:44.576Z,6,158.5812894463993,620.2946655863515,165,630,676663.8000000119,678456.8000000119,1793.0,11.635865298793016
asheesh,2026-06-26T06:02:44.576Z,7,634.0498921426686,463.74500677807595,638,471,678548.700000003,680638.6000000089,2089.9000000059605,8.26064638722149
asheesh,2026-06-26T06:02:44.576Z,8,443.97474304728445,603.3225339622929,439,610,680730.8000000119,681963.3000000119,1232.5,8.3268614177994
asheesh,2026-06-26T06:02:44.576Z,9,153.6856414826674,482.5820915305891,144,480,682055.5,683788.8000000119,1733.300000011921,10.023913786695658
asheesh,2026-06-26T06:02:44.576Z,10,537.1690912685731,260.5719132053084,534,256,683880.400000006,685305.5,1425.0999999940395,5.562870646116056
asheesh,2026-06-26T06:02:44.576Z,11,359.5914138367845,516.8648700489505,359,520,685397.400000006,686874.200000003,1476.7999999970198,3.190424757976271
asheesh,2026-06-26T06:02:44.576Z,12,717.3384179598717,732.4437131979273,721,733,686966.1000000089,688389.1000000089,1423.0,3.7035979861144024
asheesh,2026-06-26T06:02:44.576Z,13,316.10686938036395,447.78069985466846,325,450,688480.6000000089,690173.3000000119,1692.7000000029802,9.16586413563811
asheesh,2026-06-26T06:02:44.576Z,14,411.6703706863137,783.3228857276498,411,788,690265.1000000089,691791.3000000119,1526.2000000029802,4.7249121445473
asheesh,2026-06-26T06:02:44.576Z,15,385.5227542538841,634.5063921607758,383,643,691883.0,693190.400000006,1307.4000000059605,8.860342157728494
asheesh,2026-06-26T06:02:44.576Z,16,511.8985327918385,109.39512364067042,506,129,693281.700000003,695006.6000000089,1724.9000000059605,20.47300334980175
asheesh,2026-06-26T06:02:44.576Z,17,480.29322888450946,703.0728968372935,472,710,695098.5,696441.3000000119,1342.800000011921,10.80566534543991
asheesh,2026-06-26T06:02:44.576Z,18,147.59548576712535,496.6467975204141,150,508,696532.8000000119,698155.6000000089,1622.7999999970198,11.605037494061444
asheesh,2026-06-26T06:02:44.576Z,19,582.2039617173829,368.9629110408445,588,376,698247.400000006,699972.5,1725.0999999940395,9.116725332740444
asheesh,2026-06-26T06:02:44.576Z,20,700.3270821278194,675.6466118513547,699,674,700064.1000000089,701490.3000000119,1426.2000000029802,2.1148232935636346
