subject_id,collected_at,segment,key_id,key_category,press_ts,release_ts,dwell_ms
amehta_merged,2026-06-26T10:03:59.436Z,pangram,l,alphanum,17798.20000000298,17866.60000000894,68.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,17984.90000000596,18069.0,84.09999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,q,alphanum,18278.0,18390.60000000894,112.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,18429.0,18545.30000001192,116.30000001192091
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,18609.30000001192,18773.5,164.19999998807907
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,18779.10000000894,18828.80000001192,49.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,19308.0,19374.20000000298,66.20000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,r,alphanum,19378.80000001192,19472.70000000298,93.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,19481.90000000596,19574.20000000298,92.29999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,j,alphanum,19677.20000000298,19773.5,96.29999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,19881.70000000298,19957.80000001192,76.1000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,g,alphanum,19994.0,20084.5,90.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,s,alphanum,20074.70000000298,20207.60000000894,132.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,20894.60000000894,21013.60000000894,119.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,20990.5,21110.10000000894,119.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,w,alphanum,21341.0,21425.0,84.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,21476.30000001192,21549.0,72.69999998807907
amehta_merged,2026-06-26T10:03:59.436Z,pangram,v,alphanum,21657.40000000596,21790.80000001192,133.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,21796.30000001192,21926.5,130.19999998807907
amehta_merged,2026-06-26T10:03:59.436Z,pangram,c,alphanum,22208.20000000298,22281.70000000298,73.5
